date,actif,cloture,volume
2024-01-01,AETH,101.9523,1040486
2024-01-01,BTCX,249.2158,333946
2024-01-01,STAB,50.0632,1471199
2024-01-02,AETH,103.566,432865
2024-01-02,BTCX,250.6626,350501
2024-01-02,STAB,49.4291,1388975
2024-01-03,AETH,104.0922,1283937
2024-01-03,BTCX,238.9532,549745
2024-01-03,STAB,49.7591,2279282
2024-01-04,AETH,103.6843,545339
2024-01-04,BTCX,230.1198,195466
2024-01-04,STAB,50.0674,1329387
2024-01-05,AETH,103.3483,573970
2024-01-05,BTCX,223.6794,160343
2024-01-05,STAB,50.1292,1407442
2024-01-08,AETH,99.967,1030134
2024-01-08,BTCX,223.7507,664656
2024-01-08,STAB,50.0687,1394578
2024-01-09,AETH,100.1084,867324
2024-01-09,BTCX,234.1437,343092
2024-01-09,STAB,50.2596,1341587
2024-01-10,AETH,99.4879,405057
2024-01-10,BTCX,233.4528,478440
2024-01-10,STAB,49.3117,1082004
2024-01-11,AETH,99.9692,827594
2024-01-11,BTCX,236.2175,434512
2024-01-11,STAB,49.708,1049348
2024-01-12,AETH,100.5805,757982
2024-01-12,BTCX,234.3683,715731
2024-01-12,STAB,49.52,1945259
2024-01-15,AETH,102.5101,984026
2024-01-15,BTCX,242.3582,529547
2024-01-15,STAB,49.719,837365
2024-01-16,AETH,102.1357,1148523
2024-01-16,BTCX,226.6018,215647
2024-01-16,STAB,49.4923,743913
2024-01-17,AETH,102.6385,1558566
2024-01-17,BTCX,211.7991,627900
2024-01-17,STAB,49.0927,1910089
2024-01-18,AETH,105.0412,828572
2024-01-18,BTCX,218.7942,257197
2024-01-18,STAB,48.5847,876769
2024-01-19,AETH,104.3903,615449
2024-01-19,BTCX,226.2286,353182
2024-01-19,STAB,48.6638,841993
2024-01-22,AETH,104.4651,532141
2024-01-22,BTCX,232.3211,204367
2024-01-22,STAB,48.6894,1658923
2024-01-23,AETH,104.6123,1530493
2024-01-23,BTCX,236.2425,226581
2024-01-23,STAB,48.4274,1141801
2024-01-24,AETH,102.7874,689146
2024-01-24,BTCX,215.4235,202374
2024-01-24,STAB,47.5382,1423770
2024-01-25,AETH,103.264,655833
2024-01-25,BTCX,229.7481,355460
2024-01-25,STAB,47.777,818154
2024-01-26,AETH,101.6788,1093565
2024-01-26,BTCX,226.7431,280923
2024-01-26,STAB,47.6838,1221477
2024-01-29,AETH,103.6117,794265
2024-01-29,BTCX,220.7423,254795
2024-01-29,STAB,47.8576,1604452
