id,date_entree,date_sortie,actif,sens,prix_entree,prix_sortie,quantite,pnl_brut,frais
1,2024-02-02,2024-02-16,AETH,long,102.723,100.946,19.4698,-34.6,1.98
2,2024-02-20,2024-03-04,AETH,long,102.742,103.0214,19.4662,5.44,2.0
3,2024-02-21,2024-02-28,AETH,long,103.9185,100.5667,19.2459,-64.51,1.97
4,2024-02-22,2024-03-05,AETH,long,104.0058,101.7658,19.2297,-43.07,1.98
5,2024-02-23,2024-03-04,AETH,long,103.2412,103.0214,19.3721,-4.26,2.0
6,2024-02-26,2024-02-29,AETH,long,102.3531,101.0057,19.5402,-26.33,1.99
7,2024-03-06,2024-03-20,AETH,long,101.61,110.0602,19.6831,166.33,2.08
8,2024-03-08,2024-03-14,AETH,long,103.6393,106.2095,19.2977,49.6,2.02
9,2024-03-12,2024-03-25,AETH,long,103.2654,110.4026,19.3676,138.23,2.07
10,2024-03-14,2024-03-27,AETH,long,106.2095,111.5151,18.8307,99.91,2.05
11,2024-03-15,2024-03-26,AETH,long,106.6918,110.5504,18.7456,72.33,2.04
12,2024-03-18,2024-03-28,AETH,long,108.2192,111.5297,18.481,61.18,2.03
13,2024-03-20,2024-03-29,AETH,long,110.0602,111.5887,18.1719,27.78,2.01
14,2024-03-21,2024-04-02,AETH,long,111.0572,110.1483,18.0087,-16.37,1.99
15,2024-03-22,2024-04-02,AETH,long,110.5333,110.1483,18.0941,-6.97,2.0
16,2024-03-25,2024-04-01,AETH,long,110.4026,112.2114,18.1155,32.77,2.02
17,2024-03-27,2024-04-04,AETH,long,111.5151,111.914,17.9348,7.15,2.0
18,2024-04-08,2024-04-23,AETH,long,114.626,119.4527,17.4481,84.22,2.04
19,2024-04-09,2024-04-19,AETH,long,113.7262,116.0617,17.5861,41.07,2.02
20,2024-04-10,2024-04-23,AETH,long,114.6451,119.4527,17.4451,83.87,2.04
21,2024-04-11,2024-04-17,AETH,long,116.1373,116.3119,17.221,3.01,2.0
22,2024-04-12,2024-04-19,AETH,long,117.0838,116.0617,17.0818,-17.46,1.99
23,2024-04-15,2024-04-30,AETH,long,116.4276,121.7285,17.1781,91.06,2.05
24,2024-04-17,2024-04-29,AETH,long,116.3119,123.0699,17.1951,116.2,2.06
25,2024-04-23,2024-05-08,AETH,long,119.4527,122.8056,16.743,56.14,2.03
26,2024-04-24,2024-05-09,AETH,long,121.8389,122.7102,16.4151,14.3,2.01
27,2024-04-25,2024-05-08,AETH,long,121.1943,122.8056,16.5024,26.59,2.01
28,2024-04-26,2024-05-09,AETH,long,120.687,122.7102,16.5718,33.53,2.02
29,2024-04-29,2024-05-02,AETH,long,123.0699,121.6736,16.2509,-22.69,1.99
30,2024-04-30,2024-05-03,AETH,long,121.7285,120.6808,16.43,-17.21,1.99
31,2024-05-09,2024-05-20,AETH,long,122.7102,124.7747,16.2986,33.65,2.02
32,2024-05-17,2024-05-22,AETH,long,123.0297,122.7718,16.2562,-4.19,2.0
33,2024-05-20,2024-06-03,AETH,long,124.7747,120.7513,16.0289,-64.49,1.97
34,2024-05-21,2024-06-04,AETH,long,123.3045,118.944,16.22,-70.73,1.96
35,2024-05-22,2024-06-04,AETH,long,122.7718,118.944,16.2904,-62.36,1.97
36,2024-05-31,2024-06-11,AETH,long,121.752,119.8699,16.4268,-30.92,1.98
37,2024-06-03,2024-06-13,AETH,long,120.7513,116.5406,16.563,-69.74,1.97
38,2024-07-03,2024-07-15,AETH,long,112.2591,114.8113,17.8159,45.47,2.02
39,2024-07-04,2024-07-19,AETH,long,113.0919,116.3118,17.6847,56.94,2.03
40,2024-07-05,2024-07-15,AETH,long,116.1466,114.8113,17.2196,-22.99,1.99
41,2024-07-09,2024-07-15,AETH,long,117.7572,114.8113,16.9841,-50.03,1.97
42,2024-07-11,2024-07-17,AETH,long,116.4362,116.5926,17.1768,2.69,2.0
43,2024-07-18,2024-07-24,AETH,long,117.6569,118.0615,16.9986,6.88,2.0
44,2024-07-22,2024-07-30,AETH,long,116.8848,114.5171,17.1109,-40.51,1.98
45,2024-07-24,2024-07-30,AETH,long,118.0615,114.5171,16.9403,-60.04,1.97
46,2024-08-08,2024-08-22,AETH,long,116.5054,119.7516,17.1666,55.73,2.03
47,2024-08-20,2024-09-04,AETH,long,119.3333,111.3536,16.7598,-133.74,1.93
48,2024-08-22,2024-09-06,AETH,long,119.7516,113.3815,16.7012,-106.39,1.95
49,2024-08-23,2024-09-09,AETH,long,117.9173,111.1104,16.961,-115.45,1.94
50,2024-09-10,2024-09-13,AETH,long,112.2707,106.7439,17.8141,-98.46,1.95
51,2024-09-26,2024-10-03,AETH,long,103.5106,99.8731,19.3217,-70.28,1.96
52,2024-09-30,2024-10-04,AETH,long,102.1861,101.4414,19.5721,-14.58,1.99
53,2024-10-01,2024-10-10,AETH,long,103.8389,103.1592,19.2606,-13.09,1.99
54,2024-10-07,2024-10-16,AETH,long,103.2869,101.1446,19.3635,-41.48,1.98
55,2024-10-09,2024-10-22,AETH,long,103.9243,98.0039,19.2448,-113.94,1.94
56,2024-10-10,2024-10-17,AETH,long,103.1592,100.9707,19.3875,-42.43,1.98
57,2024-11-20,2024-12-02,AETH,long,95.1715,96.8793,21.0147,35.89,2.02
58,2024-11-21,2024-11-27,AETH,long,94.6817,93.7889,21.1234,-18.86,1.99
59,2024-11-29,2024-12-16,AETH,long,96.0224,104.7706,20.8285,182.21,2.09
60,2024-12-02,2024-12-17,AETH,long,96.8793,104.2018,20.6442,151.17,2.08
61,2024-12-03,2024-12-10,AETH,long,97.9424,103.7291,20.4202,118.17,2.06
62,2024-12-04,2024-12-16,AETH,long,98.2219,104.7706,20.3621,133.35,2.07
63,2024-12-06,2024-12-20,AETH,long,99.1975,105.5453,20.1618,127.98,2.06
64,2024-12-09,2024-12-23,AETH,long,100.7499,104.1198,19.8511,66.9,2.03
65,2024-12-10,2024-12-16,AETH,long,103.7291,104.7706,19.281,20.08,2.01
66,2024-12-11,2024-12-18,AETH,long,103.8086,105.1017,19.2662,24.91,2.01
67,2024-12-12,2024-12-25,AETH,long,103.8327,106.7397,19.2618,55.99,2.03
68,2024-12-13,2024-12-24,AETH,long,103.454,105.6353,19.3323,42.17,2.02
69,2024-12-16,2024-12-24,AETH,long,104.7706,105.6353,19.0893,16.51,2.01
70,2024-12-18,2024-12-26,AETH,long,105.1017,106.5706,19.0292,27.95,2.01
71,2024-12-20,2024-12-30,AETH,long,105.5453,107.8244,18.9492,43.19,2.02
