id,date,actif,achat,vente,quantite
1,2024-02-12,STAB,47.9,47.07,42
2,2024-02-21,AETH,103.92,100.57,19
3,2024-03-08,AETH,103.64,106.21,19
4,2024-03-25,AETH,110.4,112.21,18
5,2024-04-09,AETH,113.73,116.06,18
6,2024-04-12,AETH,117.08,116.06,17
7,2024-04-17,BTCX,442.22,426.89,5
8,2024-05-09,AETH,122.71,124.77,16
9,2024-05-15,BTCX,428.15,388.36,5
10,2024-05-20,AETH,124.77,120.75,16
11,2024-07-18,AETH,117.66,118.06,17
12,2024-07-22,BTCX,386.55,435.43,5
13,2024-07-22,AETH,116.88,114.52,17
14,2024-07-26,BTCX,433.88,440.83,5
15,2024-08-01,BTCX,422.83,440.83,5
16,2024-08-20,AETH,119.33,111.35,17
17,2024-08-23,AETH,117.92,111.11,17
18,2024-09-13,BTCX,289.98,308.89,7
19,2024-09-18,BTCX,302.59,284.82,7
20,2024-09-19,BTCX,308.89,284.82,6
21,2024-09-19,STAB,39.11,38.95,51
22,2024-10-15,BTCX,273.85,254.66,7
23,2024-11-21,BTCX,299.83,306.51,7
24,2024-11-28,BTCX,306.51,319.98,7
25,2024-12-03,BTCX,311.74,324.71,6
26,2024-12-06,STAB,41.85,41.62,48
27,2024-12-09,BTCX,335.95,332.36,6
28,2024-12-19,BTCX,334.29,373.24,6
29,2024-12-24,STAB,42.01,42.44,48
30,2024-12-25,AETH,106.74,112.47,19
31,2024-12-26,BTCX,379.48,416.38,5
32,2025-01-08,AETH,110.3,107.55,18
33,2025-01-10,BTCX,415.78,426.97,5
34,2025-01-16,BTCX,442.75,397.97,5
35,2025-03-20,BTCX,477.07,417.83,4
36,2025-04-02,BTCX,482.62,560.31,4
37,2025-04-11,BTCX,484.33,638.06,4
38,2025-04-16,BTCX,725.02,638.06,3
39,2025-04-17,AETH,82.02,91.43,24
40,2025-04-18,AETH,83.2,79.43,24
41,2025-04-25,AETH,86.6,88.89,23
42,2025-04-25,BTCX,815.19,795.78,2
43,2025-04-29,BTCX,822.85,480.73,2
44,2025-04-30,AETH,93.31,82.34,21
45,2025-05-15,BTCX,654.79,709.46,3
46,2025-05-26,BTCX,679.17,563.55,3
47,2025-05-28,BTCX,728.91,584.39,3
48,2025-06-12,BTCX,590.18,559.73,3
49,2025-07-04,AETH,86.53,84.78,23
50,2025-07-08,BTCX,507.54,466.87,4
51,2025-07-10,BTCX,492.26,491.18,4
52,2025-07-11,BTCX,517.01,470.23,4
53,2025-07-17,AETH,87.06,96.07,23
54,2025-07-29,BTCX,489.29,542.34,4
55,2025-07-31,AETH,96.11,101.57,21
56,2025-08-20,AETH,104.29,104.39,19
57,2025-09-15,AETH,102.37,106.18,20
58,2025-09-16,BTCX,582.72,475.79,3
59,2025-09-25,AETH,106.18,108.23,19
60,2025-10-28,AETH,115.13,114.94,17
